,month_of_crash,day_of_week,hour_of_crash,manner_of_collision,light_condition,land_use,latitude,longitude,atmospheric_conditions_1,number_of_drunk_drivers,number_of_fatalities
119,1,4,1,0,3,1,26.8703,-81.97538056,10,1,1
120,7,7,4,0,2,1,36.06905556,-79.79500556,10,0,1
121,10,7,23,0,3,1,26.89121111,-81.99788056,10,0,1
122,12,1,17,0,5,1,33.889,-97.1342,10,0,1
123,2,1,13,0,1,1,33.87156667,-101.85362778,10,0,1
124,12,7,9,0,1,1,34.84745,-81.01761944,10,1,1
125,8,7,3,0,2,1,43.21488889,-112.3497,10,1,1
126,6,7,21,0,2,1,34.92505278,-110.13603056,10,0,3
127,11,5,19,0,2,1,46.24761111,-119.32521667,10,1,1
128,5,6,4,0,2,1,35.2261,-119.18087778,10,0,1
129,9,3,20,0,2,1,38.22207778,-86.71328889,10,1,1
130,7,6,2,0,2,1,31.07141667,-105.00636389,10,0,1
131,7,2,5,0,2,1,32.45275,-95.25651944,10,0,1
132,5,4,23,0,2,1,46.89248889,-98.80031111,10,0,1
133,9,1,11,0,1,1,37.27877778,-93.04419444,10,0,1
134,10,5,16,0,1,1,37.74049722,-121.49970556,10,0,1
135,6,6,15,0,1,1,37.27962222,-113.31019444,10,0,1
136,11,7,6,0,3,2,32.46200833,-99.83681667,10,0,1
137,5,4,17,0,1,2,35.18885556,-90.01770278,10,1,1
138,2,7,16,0,1,1,27.642575,-82.45781944,10,1,1
139,10,1,9,0,1,2,39.111875,-77.18971944,10,0,1
140,2,4,10,0,1,2,35.4606,-97.6379,10,0,1
141,5,7,9,0,1,2,37.54911111,-121.919,10,0,1
142,6,3,20,0,3,2,29.16466667,-82.18514444,10,1,1
143,3,3,11,0,1,2,35.4612,-97.5785,10,0,1
144,9,3,13,0,1,2,39.25223889,-94.50894722,10,1,1
145,2,6,13,0,1,2,45.33756667,-122.76954167,10,1,1
146,6,5,9,0,1,2,40.69925,-84.09031389,10,0,1
147,1,5,2,0,2,2,33.68666944,-117.89811944,10,1,1
148,5,2,0,0,3,2,35.59011389,-82.57469167,10,0,1
149,5,6,19,0,1,2,26.51294444,-81.79484722,10,1,1
150,8,6,13,0,1,1,38.63733333,-88.97273333,1,1,1
151,10,1,0,0,2,1,35.46055,-115.62742778,1,1,4
152,2,5,12,0,1,1,30.07455556,-81.49858611,1,0,1
153,9,1,16,0,1,1,40.10633333,-104.59061667,1,0,3
154,7,5,8,0,1,1,30.45170833,-100.25712222,1,0,1
155,8,6,17,0,1,1,35.20190278,-100.79318889,1,0,1
156,4,5,17,0,1,1,35.15748611,-103.15035278,1,1,2
157,9,2,10,0,1,1,35.57873611,-106.08079444,1,0,1
158,2,7,13,0,1,1,31.77588611,-81.37929444,1,0,1
159,5,7,14,0,1,1,40.72595,-113.144575,1,0,1
160,9,5,17,0,1,1,37.67361111,-104.80186111,1,0,1
161,11,1,10,0,1,1,44.063425,-102.37018611,1,0,1
162,7,6,10,0,1,1,30.58939167,-100.67257778,1,0,1
163,7,1,18,0,1,1,39.009,-93.97925,1,0,1
164,9,7,14,0,1,1,32.52313889,-95.70585833,1,0,1
165,9,2,15,0,1,1,31.014,-103.86716111,1,0,1
166,4,3,21,0,2,1,35.00962222,-111.68521389,1,0,2
167,2,1,8,0,1,1,26.15703333,-80.76949167,1,0,1
168,1,6,9,0,1,1,43.24398056,-83.77050278,1,0,1
169,12,4,16,0,1,2,32.77375833,-115.53113889,1,0,1
170,5,7,13,0,1,2,42.13058056,-71.85760833,1,0,1
171,8,1,11,0,1,2,38.7525,-90.43858333,1,0,1
172,12,6,6,0,2,2,38.70555556,-104.72344444,1,1,1
173,10,7,19,0,5,2,29.15031111,-82.18491944,1,0,1
174,5,5,4,0,2,2,32.35942222,-90.45103333,1,0,1
175,5,1,16,0,1,2,34.02171389,-118.47653611,1,1,1
176,4,7,13,0,1,2,29.78453056,-95.61429722,1,0,1
177,10,5,21,0,2,1,40.94495278,-88.58650278,1,0,1
178,11,1,5,0,2,1,32.157075,-101.71381944,1,0,1
179,5,7,6,0,2,1,35.34775,-108.01395278,1,0,1
180,7,1,21,0,2,1,33.19197222,-80.60631111,1,0,2
181,11,7,3,0,2,1,43.523225,-89.54027222,1,1,1
182,4,6,23,0,2,1,39.52975,-107.73944444,1,0,1
183,10,4,4,0,2,1,46.20808611,-112.77731667,1,1,1
184,9,4,23,0,2,1,32.48002222,-95.49163056,1,0,1
185,10,2,4,0,2,1,30.62201667,-100.780025,1,0,1
186,6,5,21,0,2,1,37.46816944,-113.224275,1,0,1
187,3,1,2,0,2,1,39.54481389,-107.63305556,1,1,1
188,2,7,1,0,2,1,40.66020278,-116.961125,1,0,1
189,8,5,0,0,2,1,32.13795278,-96.45865278,1,0,1
190,7,2,22,0,2,1,30.24631389,-92.96296389,1,0,2
191,10,7,3,0,2,1,26.15365,-81.44193056,1,1,1
192,3,2,21,0,2,1,30.68971111,-101.39338889,1,0,1
193,3,7,4,0,2,1,32.14109722,-101.79386389,1,0,2
194,12,7,4,0,2,1,30.39955278,-99.62725,1,0,1
195,12,5,5,0,2,1,32.24797222,-107.46029167,1,0,1
196,12,4,0,0,2,1,46.89068056,-103.05083889,1,1,1
197,11,5,0,0,2,1,44.41198889,-69.74686944,1,0,1
198,7,5,0,0,2,1,35.79170556,-88.37876111,1,0,1
199,9,7,6,0,2,1,33.61946944,-115.02956944,1,0,1
200,2,3,5,0,2,1,35.11891667,-116.23465556,1,0,1
201,10,2,18,0,2,1,34.80853889,-114.14999444,1,0,1
202,4,3,18,0,5,1,34.52171111,-89.92631944,1,0,1
203,6,3,22,0,2,1,31.619025,-83.570425,1,0,1
204,5,3,1,0,2,1,28.04256667,-97.75377222,1,0,1
205,5,6,20,0,2,1,31.12478889,-89.37388056,1,0,1
206,8,7,20,0,5,1,39.99377778,-85.84389167,1,0,1
207,10,7,16,0,5,1,34.99800556,-110.59291944,1,0,1
208,1,6,19,0,2,1,34.45834167,-106.82354167,1,1,1
209,10,6,23,0,2,1,38.07618056,-83.95556667,1,1,1
210,6,6,0,0,2,1,36.83256111,-114.00529167,1,0,1
211,8,5,21,0,2,1,34.95766111,-116.65831944,1,0,1
212,5,1,19,0,2,1,34.88349722,-111.6403,1,0,1
213,7,3,3,0,2,1,35.23015278,-113.22292778,1,1,1
214,7,5,4,0,2,1,43.26483333,-112.30656944,1,0,1
215,10,1,22,0,2,1,41.51423056,-73.12024722,1,0,1
216,2,4,18,0,5,1,40.8108,-99.900225,1,0,3
217,10,7,19,0,2,1,40.37172222,-103.40602778,1,0,1
218,11,1,18,0,2,1,43.77598611,-96.78140556,1,1,1
219,7,4,22,0,2,1,42.6911,-105.2432,1,0,1
220,11,1,10,0,1,1,39.66366667,-106.82122222,1,0,1
221,8,1,7,0,1,1,36.61063056,-120.59328056,1,0,1
222,8,5,23,0,2,1,45.11473889,-107.33992778,1,1,1
223,8,6,5,0,2,1,43.69519167,-98.18151944,1,0,1
224,3,5,11,0,1,1,28.71163056,-98.28151944,1,0,1
225,6,6,17,0,1,1,34.98526944,-107.18260556,1,0,1
226,7,7,7,0,1,1,31.25373056,-90.47923056,1,0,1
227,9,7,12,0,1,1,41.4973,-95.00545833,1,0,1
228,5,6,18,0,2,1,31.14328611,-87.40973889,1,0,1
229,9,5,14,0,1,1,35.66625556,-94.16720833,1,0,1
230,8,7,12,0,1,1,43.60861111,-96.49377222,1,0,1
231,6,4,17,0,1,1,35.02898056,-116.48146944,1,0,1
232,3,6,15,0,1,1,39.6875,-106.75222222,1,1,1
233,10,7,0,0,2,1,32.74804444,-85.01845556,1,0,1
234,6,7,8,0,1,1,36.79574722,-114.11836944,1,0,1
235,10,4,20,0,2,1,38.75551944,-94.97176111,1,1,2
236,5,7,20,0,2,1,44.64981944,-106.86938611,1,1,1
237,11,7,3,0,2,1,40.85821667,-90.00420833,1,1,1
238,6,4,13,0,1,1,34.35277222,-117.44126111,1,0,1
239,4,1,99,0,2,1,34.98669167,-116.59266667,1,1,1
240,7,2,13,0,1,1,35.16416111,-111.31233889,1,0,1
241,7,6,7,0,1,1,35.15637222,-111.25859444,1,0,1
242,9,5,9,0,1,1,43.02192222,-112.40798333,1,1,1
243,7,7,6,0,1,1,43.88083611,-84.02108056,1,0,1
244,3,4,12,0,1,1,33.72007222,-89.8292,1,0,1
245,6,2,13,0,1,1,34.81193333,-78.98610556,1,0,1
246,10,4,6,0,1,1,41.07934167,-73.718275,1,0,1
247,10,7,15,0,1,1,32.66245278,-114.13908889,1,0,1
248,8,2,18,0,1,1,42.50530556,-84.85167778,1,0,2
249,4,5,6,0,4,1,38.62088056,-80.89427778,1,0,1
250,7,5,15,0,1,1,47.06518889,-120.69635278,1,0,1
251,10,1,9,0,1,1,43.21937778,-112.34548333,1,1,1
252,3,5,19,0,1,1,45.09583056,-117.95309444,1,0,1
253,8,7,17,0,1,1,45.49688889,-68.5617,1,1,1
254,9,7,15,0,1,1,36.37885278,-104.5998,1,0,1
255,3,2,12,0,1,1,42.10642778,-84.99628056,1,0,1
256,5,6,16,0,1,1,46.64575278,-113.11511944,1,0,1
257,11,6,17,0,1,1,31.01215556,-103.79514167,1,0,1
258,11,1,15,0,1,1,30.96838056,-103.49444722,1,0,1
259,5,2,6,0,1,1,31.21186389,-105.46954722,1,0,1
260,12,2,13,0,1,1,32.74751111,-115.93121111,1,0,1
261,3,4,16,0,1,1,38.10055833,-83.84714444,1,0,1
262,7,4,6,0,1,1,43.49188889,-116.12606944,1,1,1
263,6,1,16,0,1,1,35.00732778,-105.65052778,1,0,1
264,9,7,11,0,1,1,34.478675,-118.61410556,1,0,1
265,4,6,13,0,1,1,34.18770556,-112.13277222,1,0,1
266,5,7,17,0,1,1,37.88078333,-84.33497778,1,0,1
267,12,5,16,0,1,1,39.05868889,-96.00436667,1,0,1
268,11,2,11,0,1,1,34.52945278,-111.949925,1,0,1
269,8,7,17,0,1,2,36.03111944,-83.89391944,1,0,1
270,10,6,0,0,2,2,33.90262222,-84.27484167,1,1,1
271,3,4,21,0,2,2,26.49116111,-81.79421944,1,0,1
272,5,6,22,0,2,2,32.47759722,-99.78713611,1,0,1
273,12,4,16,0,1,1,38.97348889,-110.10776667,1,0,2
274,8,1,15,0,1,1,31.34900833,-87.08675556,1,0,1
275,12,5,8,0,1,1,35.55501389,-105.73092778,1,0,1
276,12,4,8,0,1,1,34.39144167,-106.85710278,1,0,1
277,11,1,10,0,1,2,41.76813333,-72.65756944,1,0,1
278,6,4,11,0,1,1,36.58829444,-114.64881111,1,1,1
279,12,3,23,0,3,1,47.71216389,-116.89638056,1,1,2
280,8,2,18,0,1,1,39.70188611,-76.64081944,1,0,1
281,1,2,14,0,1,1,31.05665,-104.56736944,1,0,1
282,6,3,6,0,1,1,42.1349,-105.0011,1,0,1
283,7,1,19,0,1,1,40.67195833,-99.16365833,1,0,1
284,6,3,6,0,1,1,36.20961111,-84.12856111,1,0,1
285,8,3,10,0,1,1,46.91346111,-98.04691111,1,0,1
286,8,7,4,0,2,1,38.09452778,-90.30180556,1,1,1
287,10,1,19,0,2,1,40.56671389,-89.00279722,1,0,1
288,10,6,19,0,2,1,34.99492222,-78.83135833,1,0,1
289,12,5,22,0,2,1,32.33269444,-109.52144722,1,1,1
290,9,6,20,0,2,1,43.76044167,-96.78149444,1,0,1
291,4,1,3,0,2,1,45.14546667,-117.97011389,1,0,1
292,6,1,10,0,1,1,30.89545,-102.34476111,1,0,4
293,5,6,2,0,2,1,33.26826944,-80.48540833,1,0,1
294,9,7,1,0,2,1,34.61682778,-89.94973611,1,0,1
295,7,3,21,0,2,1,34.98384444,-110.55144167,1,1,1
296,1,1,17,0,2,1,33.60930278,-113.62311944,1,0,1
297,3,2,23,0,2,1,35.20250833,-111.45415556,1,0,1
298,6,6,4,0,2,1,32.71273611,-113.82592222,1,0,1
299,1,4,5,0,2,1,34.75430833,-89.96341944,1,0,1
300,6,6,0,0,2,1,42.80026389,-112.8168,1,0,1
301,10,3,4,0,2,1,35.36453889,-115.9175,1,0,1
302,9,3,20,0,3,2,41.42223333,-81.68406389,1,1,1
303,11,2,4,0,3,2,39.05985278,-94.48992222,1,0,1
304,1,5,1,0,3,2,31.85618056,-106.57493889,1,1,1
305,12,4,17,0,1,2,33.462175,-112.50041111,1,0,1
306,3,3,6,0,2,2,31.01781667,-97.48173889,1,0,1
307,7,1,22,0,2,2,42.53706944,-92.42784167,1,0,1
308,11,5,19,0,3,2,29.72198056,-95.46016667,1,0,1
309,4,6,4,0,3,2,39.72497222,-104.82509722,1,0,1
310,12,6,9,0,1,2,44.10056111,-103.18600278,1,0,1
311,5,4,15,0,1,2,46.40775278,-120.28675278,1,0,1
312,7,1,5,0,3,2,33.44660833,-112.55001667,1,0,1
313,12,3,13,0,1,2,25.8471,-80.20785,1,0,1
314,7,4,16,0,1,2,34.75104444,-85.00234444,1,0,1
315,6,7,12,0,1,2,26.51259444,-81.79736111,1,0,1
316,4,4,12,0,1,2,43.64352222,-116.64647778,1,0,1
317,8,6,3,0,3,2,36.17258889,-86.79971944,1,1,1
318,11,5,16,0,1,2,39.82764722,-83.11906389,1,1,1
319,7,5,20,0,3,2,31.62753056,-97.09566111,1,0,1
320,5,7,22,0,2,2,32.75826111,-96.77298889,1,0,1
321,4,4,14,0,1,2,37.90618056,-122.31453889,1,0,1
322,8,2,6,0,1,2,32.67564167,-117.10933333,1,0,1
323,8,7,2,0,2,2,33.22643056,-111.92593611,1,2,1
324,7,6,9,0,1,2,39.47094167,-76.66089167,1,0,1
325,9,5,13,0,1,2,39.34894444,-94.75677778,1,0,1
326,10,4,9,0,1,2,37.38991667,-89.62133333,1,0,1
327,5,7,19,0,1,2,37.79715556,-121.30074722,1,0,1
328,7,4,15,0,1,1,30.76758056,-92.17613056,1,0,1
329,2,6,15,0,1,1,32.06288611,-110.77552222,1,0,3
330,5,4,14,0,1,2,26.57218056,-80.06931111,1,0,1
331,12,4,0,0,2,2,36.18306944,-86.33366944,1,1,1
332,8,1,20,0,3,1,39.689,-105.881825,1,0,1
333,9,7,17,0,1,2,42.60798889,-71.32051667,1,0,1
334,1,6,8,0,1,2,39.32063889,-76.48705833,1,0,1
335,7,3,9,0,1,2,29.23091111,-82.18771111,1,0,1
336,3,1,2,0,3,2,40.62101111,-89.48588889,1,1,1
337,1,2,13,0,1,2,35.469,-97.5025,1,0,1
338,4,4,11,0,1,2,31.19886944,-81.5374,1,0,2
339,9,3,15,0,1,2,43.0774,-70.77765833,1,0,1
340,9,5,14,0,1,2,45.66473889,-118.81204444,1,0,1
341,6,2,13,0,1,2,40.08352222,-74.93443333,1,0,1
342,8,7,19,0,1,2,41.44536111,-81.77794444,1,0,1
343,8,1,21,0,3,2,32.32895278,-90.24627222,1,0,1
344,7,2,19,0,1,1,38.85786389,-98.81323333,1,0,1
345,12,4,13,0,1,1,36.5391,-86.63865,1,0,1
346,6,3,16,0,1,1,43.28119444,-115.88482778,1,1,1
347,12,1,15,0,1,1,42.67220556,-112.21542222,1,0,1
348,9,5,13,0,1,1,35.55412222,-105.87856111,1,0,1
349,1,4,7,0,1,1,44.27673056,-106.55636389,1,0,1
350,8,6,15,0,1,1,41.4266,-110.1274,1,0,1
351,9,2,14,0,1,1,41.5054,-109.9932,1,0,1
352,1,7,14,0,1,1,35.90840833,-119.8855,1,0,1
353,8,2,14,0,1,1,34.82573889,-115.08316944,1,1,1
354,8,2,14,0,1,1,40.90002222,-104.94569722,1,0,2
355,8,7,15,0,1,1,36.99820278,-84.10690833,1,0,1
356,9,1,11,0,1,1,32.34146389,-108.68974444,1,0,2
357,7,1,18,0,1,1,38.62183333,-94.34897222,1,0,1
358,8,3,17,0,1,1,45.9182,-111.60469722,1,0,1
359,11,6,10,0,1,1,41.81515833,-112.39691111,1,0,1
360,8,1,7,0,1,1,39.22285556,-122.18141667,1,0,1
361,4,2,12,0,1,1,40.30444444,-103.52257222,1,0,1
362,7,2,8,0,1,1,33.77661667,-101.83746389,1,0,1
363,5,6,17,0,1,1,47.01705556,-114.66931389,1,0,1
364,11,4,7,0,1,1,31.69153056,-96.16763889,1,0,1
365,1,5,11,0,1,1,40.95027778,-104.92433333,1,0,1
366,6,3,9,0,1,1,46.14344167,-95.93031389,1,0,2
367,5,5,16,0,1,1,34.64073056,-82.14359722,1,0,1
368,8,6,18,0,1,1,31.49101944,-103.27101111,1,0,1
369,3,3,22,0,3,1,32.43133056,-91.42258056,1,1,1
370,11,5,2,0,3,1,35.16171389,-111.27828333,1,0,1
371,3,1,3,0,3,1,42.63595556,-114.44824167,1,1,1
372,9,6,20,0,3,1,31.69185,-89.11715278,1,1,1
373,7,6,13,0,1,1,33.84808056,-117.2538,1,0,1
374,8,7,18,0,1,1,39.99063333,-85.89956111,1,0,1
375,7,7,11,0,1,1,34.11148889,-112.14407778,1,0,1
376,8,3,11,0,1,1,39.11131667,-100.48820278,1,0,3
377,8,2,20,0,1,1,45.69181667,-92.99151389,1,1,1
378,8,4,13,0,1,1,40.13723611,-81.55229444,1,0,1
379,12,4,15,0,1,1,29.19928056,-98.82355,1,0,1
380,5,7,11,0,1,1,47.07361111,-104.49020833,1,1,1
381,7,3,6,0,1,1,32.94143611,-112.75281667,1,0,1
382,3,3,13,0,1,1,31.05644167,-104.57186944,1,0,1
383,4,1,17,0,1,1,28.69159167,-98.27438056,1,0,1
384,2,3,8,0,1,1,35.11841944,-119.06313889,1,0,1
385,5,1,10,0,1,1,42.79005278,-112.83270833,1,1,1
386,10,7,14,0,1,1,42.27078611,-78.04993333,1,0,1
387,12,4,6,0,1,1,37.66516667,-89.85780556,1,0,1
388,10,7,17,0,1,1,31.98745833,-110.584125,1,1,1
389,7,6,18,0,1,1,42.55713333,-113.49426667,1,0,1
390,5,4,13,0,1,1,31.00441389,-103.71903889,1,0,1
391,7,5,11,0,1,1,41.24590556,-76.84024444,1,0,1
392,9,7,6,0,1,1,41.47636944,-80.16674722,1,0,1
393,2,6,14,0,1,1,41.18630556,-80.338225,1,0,1
394,2,1,17,0,1,1,35.56629722,-80.56261111,1,0,1
395,5,5,14,0,1,1,32.65795,-83.44758889,1,0,1
396,10,6,8,0,1,1,35.37774444,-106.47050833,1,0,1
397,2,1,15,0,1,1,30.45358889,-88.76533333,1,0,1
398,6,4,20,0,1,1,35.5008,-97.8375,1,0,1
399,10,3,0,0,2,1,31.40750278,-103.46639167,1,1,1
400,3,2,0,0,2,1,34.98366111,-105.13730278,1,0,2
401,10,4,6,0,2,1,40.27177778,-77.03658333,1,0,1
402,11,2,6,0,1,1,33.39411111,-107.26608056,1,0,1
403,9,2,17,0,1,1,28.82114722,-98.36164722,1,0,1
404,7,6,21,0,2,1,38.23948611,-86.13137222,1,0,1
405,5,7,8,0,2,1,42.67575833,-114.50549722,1,0,1
406,6,4,14,0,1,1,38.75458611,-112.5662,1,0,1
407,9,1,8,0,1,1,43.43945,-89.48712778,1,0,2
408,7,3,7,0,1,1,37.83151944,-112.89012778,1,1,1
409,10,5,14,0,1,1,35.07611111,-107.63155,1,0,1
410,8,7,99,0,9,1,40.10567222,-95.21597222,1,0,1
411,11,3,0,0,2,1,44.8763,-106.9988,1,0,1
412,9,2,4,0,2,1,35.75369444,-105.01786111,1,0,1
413,10,2,18,0,2,1,46.26195833,-119.40292222,1,0,1
414,9,6,5,0,2,1,47.476,-117.73211111,1,0,1
415,7,6,22,0,2,1,33.41593889,-107.25653611,1,0,1
416,5,3,1,0,2,1,39.4305,-87.3315,1,1,1
417,9,6,4,0,2,1,35.13500556,-103.41408056,1,0,1
418,10,1,2,0,2,1,35.25836667,-112.71256944,1,0,3
419,10,3,4,0,2,1,27.96993889,-99.37661389,1,0,1
420,1,1,4,0,2,1,38.188825,-87.46742778,1,0,1
421,4,1,2,0,2,1,45.49395,-118.41467222,1,0,2
422,7,6,22,0,2,1,46.7871,-113.7215,1,0,1
